"Name","Effects","Synergies","Risks","Acquisition notes","Notes"
"Fuel Tax","Raises weekly revenue and slightly reduces car use.","Climate Communication Campaign; Electric Bus Purchase; Fuel Price Spike","Backlash during driver tax revolt; revenue falls with EV adoption.","Draft policy or event reward.","Simple early pricing policy."
"Congestion Charge","Reduces peak car trips into priced zones and generates revenue.","Congestion Charge Gantries; Bus Priority Lane; License Plate Camera Network","High backlash without visible transit alternatives.","Draft policy or unlocked by toll abilities.","Run-defining demand management."
"Congestion Dividend","Improves approval when congestion charge revenue funds fares or local projects.","Congestion Charge; Low-Income Fare Pass; Pop-Up Pedestrian Plaza","Less net revenue retained for capital.","Driver Tax Revolt reward.","Makes pricing politically sustainable."
"Extra Transit Subsidy","Increases weekly budget for transit operating costs.","Low-Income Fare Pass; Night Bus Service; Subway Frequency Increase","Can mask inefficient service if overused.","Draft policy.","Core policy for service-heavy runs."
"Night Shift Economy","Spreads commute demand across more hours, lowering peak congestion.","Night Bus Service; Industrial Shift Shuttle; Hospital Access Shuttle","Requires stronger off-peak service to capture benefits.","Draft policy or remote-work event.","Great with hospitals, factories, nightlife."
"Work From Home Act","Reduces office peak demand and increases local midday trips.","Telework Outreach Campaign; Employer Transit Pass Pilot; Remote Work Trend","Can reduce fare revenue on commuter routes.","Draft policy or event reward.","Demand reduction without construction."
"Parking Cash-Out","Employers must offer cash instead of free parking, reducing drive-alone commuting.","Employer Transit Pass Pilot; Parking Meter Expansion; Mobility Wallet Pilot","Business backlash in car-oriented districts.","Oil price crash or tech campus event.","Strong with office clusters."
"Parking Minimum Repeal","New development requires less parking, reducing future car ownership pressure.","Remove Minimum Parking Lot; Transit-Oriented Zoning Hearing; Mixed-Use Retrofit","Can worsen spillover parking without curb pricing.","Draft policy.","Long-term land-use lever."
"Dynamic Parking Pricing","Raises or lowers parking prices based on demand; reduces cruising.","Curb Pricing Pilot; Smart Parking Guidance; Event Parking Levy","Driver backlash if introduced abruptly.","Draft or unlocked by curb pricing.","Revenue plus congestion control."
"Event Parking Levy","Charges extra parking fees near major venues during events.","Special Event Transit Plan; Championship Game; Convention Week","Can shift parking spillover to neighborhoods.","Sports or festival event reward.","Turns events into funding opportunities."
"Low-Emission Zone","Restricts high-polluting vehicles in dense areas; lowers smog penalties.","License Plate Camera Network; Electric Bus Purchase; Vehicle Electrification Grant","May burden low-income drivers without exemptions.","Smog or EV adoption event.","Emissions-focused, not congestion alone."
"Road Usage Charge","Replaces declining fuel tax with distance-based revenue.","Electric Vehicle Adoption Wave; License Plate Camera Network; Congestion Charge","Privacy concerns and rural backlash.","EV adoption event reward.","Future-proofs revenue."
"Vehicle Electrification Grant","Subsidizes electric buses, taxis, and delivery vehicles.","Electric Bus Purchase; Cargo Bike Delivery Hub; Low-Emission Zone","Does not reduce traffic volume by itself.","EV events or climate policy draft.","Good with smog but needs mode shift too."
"Climate Mobility Mandate","Increases draft rate of transit, bike, and walking abilities; reduces road expansion support.","Protected Bike Lane; Subway Extension 1KM; Green Bond Issuance","Car-oriented responses become politically harder.","Youth climate march reward.","Pushes distinctive green runs."
"Green Bond Authority","Allows borrowing for low-emission capital projects.","Green Bond Issuance; Subway Extension 1KM; Commuter Rail Electrification Segment","Adds weekly repayment pressure.","Draft policy.","Enables bold early capital."
