"Name","Upfront cost (K$,M$,B$)","Operating cost (K$,M$,B$)","Effects (description of gameplay modifier)","Notes (misc brainstorm section)","isDefault (is part of default ability pack available)"
"Neighborhood Marketing Campaign","50K$","5K$/week","Slightly reduces car preference in one neighborhood for 6 weeks.","Cheap nudge; stacks well with new stops, fare discounts, and car-free events.","TRUE"
"Add Bus Stop","20K$","1K$/week","Adds a bus stop; improves walking access but slightly slows buses on that line.","Good early tactical choice when a line passes near dense residential tiles.","TRUE"
"Add Standard Bus","500K$","12K$/week","Adds bus capacity to one line; reduces crowding and car substitution on that corridor.","Core bus scaling option and a natural beginner default.","TRUE"
"Painted Bike Lane","150K$","2K$/week","Adds low-cost cycling access along a road segment with a modest safety bonus.","Best when paired with bike parking or bike-to-transit policy support.","TRUE"
"Protected Bike Lane","800K$","8K$/week","Strongly improves bike safety and mode share but removes or narrows a car lane.","Creates congestion tension; great with traffic calming and car-lite policies.","TRUE"
"Bus Priority Lane","1.5M$","10K$/week","Improves bus speed on a corridor and reduces bus commute cost; may worsen car delay nearby.","Key synergy with bus frequency and bus signal priority.","TRUE"
"Bus Signal Priority","350K$","5K$/week","Improves bus travel time through signalized intersections.","Low friction bus upgrade; combos with priority lanes and express buses.","TRUE"
"Traffic Light Retiming","250K$","3K$/week","Reduces intersection delay for all modes in one district for 8 weeks.","Flexible default that helps road-heavy and transit-heavy strategies.","TRUE"
"Real-Time Arrival Signs","300K$","7K$/week","Improves transit attractiveness at selected stops by reducing perceived wait time.","Best at transfer hubs and high-frequency bus corridors.","TRUE"
"Bus Shelter Upgrade","120K$","2K$/week","Improves bus attractiveness at exposed stops, especially during rain or snow events.","Small but reliable; weather synergy.","TRUE"
"Fare Discount Weekend","80K$","25K$/week","Temporarily reduces fares on weekends and shifts discretionary trips from cars.","Cheap demand test; can pair with festivals and car-free days.","TRUE"
"Employer Transit Pass Pilot","250K$","15K$/week","Increases transit mode share for commuters to one commercial or industrial cluster.","Pairs with office district growth and work-from-home policies.","TRUE"
"School Travel Plan","100K$","3K$/week","Reduces morning car trips around schools through walking, biking, and bus coordination.","Good localized congestion relief; pairs with safe crossings.","TRUE"
"Crosswalk Upgrade","90K$","1K$/week","Improves pedestrian safety and walking attractiveness at one dangerous crossing.","Small default ability that makes walking networks matter.","TRUE"
"Bike Parking Corral","40K$","1K$/week","Improves bike access near transit stops or commercial centers.","Cheap connector for bike-transit strategies.","TRUE"
"Park-and-Ride Lot","1.2M$","8K$/week","Captures suburban car trips before they enter the core, but induces some extra driving nearby.","Useful bridge strategy; can conflict with anti-car policies.","TRUE"
"Curb Pricing Pilot","200K$","0K$/week","Charges busy curb space; reduces cruising and raises small weekly revenue.","Synergizes with freight delivery windows and parking reform policies.","TRUE"
"Pothole Repair Blitz","300K$","0K$/week","Temporarily improves bus, bike, and car reliability on rough roads.","Good response to pothole events; accessible baseline tool.","TRUE"
"Queue Jump Lane","450K$","4K$/week","Lets buses skip a congested intersection; improves line reliability.","Focused version of bus priority for tight budgets.","TRUE"
"Pop-Up Pedestrian Plaza","150K$","4K$/week","Converts a short street segment to walking space; reduces local car access but boosts walking.","Trial version of permanent plaza policies; event-friendly.","TRUE"
"Speed Limit Reduction","50K$","0K$/week","Improves safety and walking comfort while slightly increasing car travel time.","Simple lever with policy synergies around Vision Zero.","TRUE"
"Transit Ambassador Team","180K$","12K$/week","Improves perceived safety and wayfinding on selected transit lines.","Pairs with night service and tourism events.","TRUE"
"Neighborhood Mobility Survey","60K$","0K$/week","Reveals hidden commute demand and improves future advisor recommendations for that area.","Draft-smoothing ability; useful when map information is incomplete.","TRUE"
"Microgrant for Bike Groups","75K$","3K$/week","Slightly boosts bike adoption city-wide for 8 weeks.","Low-cost culture-building; pairs with bike lane construction.","TRUE"
"Tactical Bus Stop Consolidation","40K$","0K$/week","Removes or merges weak stops to improve bus speed, with a small access penalty nearby.","Teaches tradeoffs; strong with real-time signs and shelters.","TRUE"
"Neighborhood Carpool Drive","70K$","3K$/week","Slightly reduces single-occupancy car trips for 8 weeks.","Works as a bridge when transit capital is not ready.","TRUE"
